Profile_ID,Age,Employment_Status,Residential_Stability,Bank_Account_Tenure,Utility_Payment_History,Rent_Payment_History,Telecommunications_Payment_History,Educational_Background,Online_Shopping_Behavior,Social_Media_Footprint,Gig_Economy_Participation
420678,64,Student,10,15,Inconsistent,New,Inconsistent,Master's,Occasional,High,None
138458,27,Self-employed,14,17,New,New,Consistent,High School,None,High,Part-Time
461377,30,Self-employed,16,21,Inconsistent,Inconsistent,New,High School,Frequent,High,None
300578,19,Employed,20,7,New,Inconsistent,Consistent,PhD,None,Medium,Full-Time
64157,24,Self-employed,10,13,Consistent,New,Inconsistent,PhD,None,Low,Full-Time
507828,31,Self-employed,25,9,Inconsistent,Consistent,Consistent,Master's,Frequent,Medium,Full-Time
993437,58,Unemployed,6,13,Inconsistent,Inconsistent,Inconsistent,High School,Frequent,Medium,None
767541,45,Student,25,13,New,Inconsistent,New,PhD,Frequent,Medium,Part-Time
165503,19,Unemployed,3,17,New,Inconsistent,Consistent,Bachelor's,Frequent,Low,Part-Time
723639,51,Unemployed,25,0,Inconsistent,Consistent,Consistent,Master's,Occasional,High,Full-Time
334950,18,Self-employed,26,2,Inconsistent,New,Inconsistent,PhD,None,Medium,None
685308,64,Student,12,15,Consistent,New,New,PhD,Frequent,High,None
399053,27,Student,20,0,Inconsistent,Consistent,Consistent,Master's,None,Medium,Part-Time
830205,42,Student,19,13,Inconsistent,Consistent,Consistent,High School,Occasional,High,Part-Time
786486,53,Student,10,29,Consistent,New,New,High School,Occasional,High,Full-Time
199664,18,Self-employed,3,29,Inconsistent,Inconsistent,New,Bachelor's,None,Low,Part-Time
887226,34,Student,28,28,New,Inconsistent,Consistent,High School,None,High,Full-Time
250612,41,Employed,16,8,New,Consistent,Consistent,PhD,Occasional,Low,None
232212,51,Unemployed,1,11,Consistent,Inconsistent,Inconsistent,Master's,Frequent,Low,Full-Time
854803,27,Self-employed,8,26,Consistent,Consistent,Inconsistent,Master's,Occasional,Medium,Full-Time
802475,55,Unemployed,6,22,New,Consistent,New,Bachelor's,Occasional,Low,None
228174,52,Self-employed,11,22,New,Inconsistent,Consistent,Master's,Occasional,Medium,Full-Time
298216,32,Unemployed,9,0,Inconsistent,Consistent,Consistent,PhD,Frequent,High,Part-Time
71468,58,Employed,14,20,Consistent,Inconsistent,New,Bachelor's,Frequent,High,None
186000,52,Self-employed,23,29,Consistent,New,Inconsistent,Bachelor's,None,High,Full-Time
794461,32,Employed,25,2,New,Inconsistent,Inconsistent,Master's,Occasional,Low,Part-Time
785668,62,Unemployed,14,0,Consistent,Consistent,Inconsistent,High School,Occasional,Medium,Full-Time
380076,45,Self-employed,0,11,Consistent,Inconsistent,New,PhD,Occasional,Medium,None
419546,31,Employed,13,11,New,Inconsistent,Inconsistent,Bachelor's,Occasional,Low,Part-Time
410246,33,Student,26,24,Inconsistent,Inconsistent,Consistent,PhD,Occasional,High,None
679355,39,Unemployed,12,11,Consistent,Inconsistent,New,PhD,Occasional,Medium,Full-Time
748894,63,Student,27,27,Consistent,Consistent,Inconsistent,Bachelor's,Occasional,Medium,None
42676,45,Student,0,2,Inconsistent,New,New,High School,None,Medium,Part-Time
572655,46,Unemployed,12,0,Consistent,Consistent,Inconsistent,PhD,None,Medium,Part-Time
523314,50,Student,15,12,Consistent,Consistent,Consistent,High School,Occasional,Medium,None
627581,22,Self-employed,28,9,New,Inconsistent,New,PhD,Frequent,Medium,Full-Time
501499,51,Unemployed,22,9,New,Consistent,New,PhD,None,Medium,Part-Time
741096,18,Unemployed,10,1,Inconsistent,Inconsistent,Inconsistent,PhD,Frequent,Low,Part-Time
155982,56,Self-employed,27,17,Inconsistent,Consistent,Inconsistent,High School,None,Medium,None
979584,19,Employed,28,10,New,Consistent,Consistent,Bachelor's,Frequent,Medium,Part-Time
294724,19,Employed,10,0,Consistent,Consistent,Consistent,PhD,Occasional,Medium,Full-Time
568313,27,Unemployed,3,28,Inconsistent,Consistent,Consistent,Bachelor's,Frequent,Medium,Full-Time
729247,47,Self-employed,13,26,Inconsistent,Inconsistent,Consistent,Bachelor's,Occasional,High,None
682131,53,Unemployed,23,10,Inconsistent,Consistent,Inconsistent,PhD,Frequent,Low,Full-Time
281984,49,Unemployed,17,24,Inconsistent,Consistent,Inconsistent,High School,Occasional,Medium,None
712345,46,Unemployed,14,18,Consistent,New,Consistent,High School,Frequent,Medium,Part-Time
439393,48,Student,6,14,New,Inconsistent,New,High School,Occasional,Medium,None
277873,40,Employed,5,17,Consistent,Inconsistent,Consistent,Master's,None,High,Full-Time
47278,61,Employed,16,26,New,New,Consistent,PhD,Frequent,Medium,Full-Time
